timestamp,type,ip_or_domain,details
2025-11-02T21:33:22.124844+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:23.125769+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:24.129208+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:27.755537+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:28.757738+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:29.758632+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:30.765648+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:31.799334+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:33.188540+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:34.189037+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:35.248306+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:36.248008+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:37.248234+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:40.782214+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:41.828120+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:42.830517+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:43.848438+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:44.852079+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:46.164958+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:47.172009+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:48.174087+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:49.174197+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
